cap-shape,count
x,1436026
f,676238
s,365146
b,318646
o,108835
p,106967
c,104520
d,65
e,60
n,41
t,36
w,36
g,34
y,33
r,32
a,30
u,27
z,22
l,21
i,14
k,13
h,6
m,2
8,2
3.55,2
7 x,2
4.97,2
3.25,1
11.12,1
3 x,1
4.3,1
7.41,1
6.21,1
8.29,1
7.21,1
54.78,1
2.82,1
20.25,1
3.52,1
3.04,1
6.53,1
2.63,1
3.91,1
6.44,1
8.3,1
7.6,1
1.66,1
17.44,1
4.33,1
3.37,1
7.43,1
9.13,1
ring-type,1
19.29,1
5 f,1
2.85,1
is s,1
4.22,1
3.6,1
21.56,1
6 x,1
24.16,1
10.13,1
b f,1
is p,1
0.82,1
10.46,1
2.77,1
2.94,1
12.62,1
5.15,1
19.04,1
49.21,1
19.06,1
